000229  1- 1+ 2+ 3o  2+ 1+ 1o 1+   13+ Q7A  7 0.3
000301  2+ 4- 4+ 4-  3+ 3+ 3o 4+   28o D2  21 1.1
000302  5- 3+ 2- 1o  2o 1o 1- 2o   16+     11 0.6
000303  1o 0+ 0+ 1o  2o 1+ 2+ 2-   10o      5 0.2
000304  0o 0o 0+ 1-  2- 2o 1- 1-    6o Q5   3 0.1
000305  0+ 2o 1- 1o  1+ 2- 2o 3o   12o      6 0.3
000306  2- 2+ 3o 3o  3- 3o 2+ 3o   21o     12 0.7
000307  3o 4- 3+ 3o  3o 3o 3- 3+   25o D4* 16 0.9
000308  2+ 3- 2- 3o  3o 4o 4- 2o   22+ D5* 14 0.8
000309  2+ 1- 0+ 1-  2- 1- 1o 1o    8+ Q8   4 0.1
000310  1o 1- 1+ 2o  2+ 2+ 2o 4o   16-      9 0.5
000311  4- 3+ 3- 2-  4- 2o 1+ 2+   21-     13 0.7
000312  3- 4- 4o 4+  4o 3o 2o 2+   26o D3* 19 1.0
000313  3- 1+ 0+ 0o  0o 0o 2- 2-    8- Q0   4 0.1
000314  2o 2- 1o 2-  1o 1+ 2- 2-   12o      6 0.2
000315  1- 0o 0+ 0+  0+ 1- 0+ 0o    3- Q1   2 0.0
000316  0o 0o 0o 0+  0+ 1- 1- 1o    3o Q2   2 0.0
000317  2o 1+ 2- 2-  2- 0+ 0+ 0o    9o Q9   4 0.1
000318  0o 0+ 0+ 2-  2- 2o 3o 2-   11-      6 0.2
000319  2o 3o 2o 2-  2o 2- 2- 1o   15o      7 0.4
000320  1o 0+ 1+ 3o  3- 1- 0+ 1-   10o      6 0.3
000321  0+ 0+ 1+ 1-  2- 2- 1+ 0o    7+ Q6   4 0.1
000322  2- 2+ 3- 2o  3o 3+ 3+ 3-   21o     12 0.7
000323  3o 3+ 3- 3o  4- 3+ 1+ 1+   22-     14 0.8
000324  2+ 2+ 1+ 3o  4- 3+ 1+ 2-   19o     11 0.6
000325  2o 2+ 2+ 2-  1+ 3o 3- 0+   16-      8 0.4
000326  0+ 0o 1- 1-  1- 2- 1+ 1+    7- Q3   3 0.1
000327  1o 1+ 1o 1-  1+ 1- 1- 1o    8- Q4   4 0.1
000328  2- 2- 1+ 1+  1- 1- 0+ 0o    8- Q7   4 0.1
000329  0+ 0+ 1- 1o  1o 1o 4o 4+   13-     10 0.5
000330  3o 2+ 2o 1o  2+ 2+ 4+ 3o   20+     12 0.7
000331  3+ 5- 4- 4-  4+ 3- 3+ 4-   29+ D1  23 1.1
000401  3- 2+ 2- 2o  2o 3+ 4o 3+   21+     13 0.7
000402  4o 4- 3+ 3-  3o 1+ 2o 3o   23o     15 0.9
000403  3- 3- 2- 2-  2o 2+ 1+ 3o   17+      9 0.5
000404  5o 4- 2+ 1+  4- 3o 5- 3o   27- D3  22 1.1
000405  4o 4+ 2- 1-  1- 2- 1+ 1o   15+     11 0.6
000406  2- 4+ 3- 2+  3+ 7- 8+ 8+   38- D2  82 1.8
000407  9- 6o 6o 4o  4o 4+ 4- 4-   40+ D1  74 1.8
000408  2+ 2+ 3o 3o  2o 2- 2+ 3-   19+     10 0.6
000409  2+ 3o 2+ 2-  3+ 3o 4- 4-   23o     14 0.8
000410  4- 4o 4- 3+  3o 3o 3- 3+   27-     19 1.0
000411  2- 3o 3+ 2-  2o 2- 2+ 1+   17o Q0A  9 0.5
000412  2+ 3- 2+ 0+  1o 2- 1+ 2-   13+ Q9A  7 0.3
000413  2+ 4- 2o 1o  1- 0+ 0o 0o   10o Q8K  6 0.3
000414  0o 0+ 0+ 1-  0+ 1- 1+ 0+    4o Q2   2 0.0
000415  0+ 1o 1o 2-  1+ 2- 2+ 3-   12o Q6   6 0.3
000416  3+ 4+ 4+ 4+  4+ 3- 2+ 2o   28- D4  22 1.1
000417  3o 3o 4o 3-  1o 2o 1+ 2o   19o     12 0.7
000418  1+ 2+ 1o 0+  1- 1- 3- 2-   11- Q4   6 0.2
000419  3o 4o 2- 2-  3o 3o 2- 2-   20-     12 0.7
000420  3o 3+ 3+ 2o  3o 3o 2+ 2-   22-     13 0.7
000421  3- 1+ 1- 4-  3- 3- 2- 1+   17-     10 0.5
000422  1o 2- 2o 2o  2- 1- 1o 1o   11o Q3   5 0.2
000423  1o 1- 2+ 2o  1+ 2o 1+ 2o   13- Q7   6 0.3
000424  2- 3+ 4o 4o  5+ 3o 2o 2+   26- D5  21 1.1
000425  2- 0+ 1- 2+  2- 2- 2o 1o   11+ Q5   5 0.2
000426  0o 0o 1o 1-  1- 0o 1- 1-    4- Q1   2 0.0
000427  3o 2- 2o 3-  2+ 3o 3- 4o   21+     13 0.7
000428  5- 3+ 3o 2+  2o 2o 2+ 2+   22o     14 0.8
000429  3- 3- 2- 2+  3o 3- 3- 4-   21+     12 0.7
000430  3o 4+ 1+ 1o  2o 2+ 3o 2-   19-     12 0.7
000501  2- 4- 3- 3o  3o 3+ 3+ 3o   24-     15 0.9
000502  3+ 2o 2o 4+  5- 4- 3+ 4-   27o     21 1.1
000503  2+ 2+ 3- 1+  2o 4o 5o 4-   23+     17 0.9
000504  1+ 1+ 2- 2+  2- 2- 2o 2o   14o Q7   6 0.3
000505  2o 2o 3+ 2o  3- 1+ 2o 3o   18+     10 0.5
000506  3+ 3+ 2- 2-  2+ 2o 2- 3o   19o     11 0.6
000507  2o 2o 2- 1o  1o 0+ 2- 1o   11- Q4   5 0.2
000508  1- 0o 1- 1-  1o 1o 2- 2o    8- Q1   4 0.1
000509  1+ 2+ 1o 2-  2- 3- 3- 2+   16- Q0A  8 0.4
000510  3- 2+ 1o 1-  1+ 1o 1o 1+   11+ Q6   6 0.3
000511  1+ 1+ 1+ 0+  1+ 0+ 1- 2o    9- Q2   4 0.1
000512  2o 3+ 4o 3o  2o 1o 3- 4o   22o     15 0.8
000513  4o 2o 2o 2+  3+ 4- 3o 2o   22+     14 0.8
000514  4- 2+ 1+ 1+  2- 1+ 3- 2-   16o      9 0.5
000515  4+ 3- 2+ 3-  2o 2+ 2- 2+   20+     12 0.7
000516  3- 4+ 3o 3o  3- 3- 3o 3o   24+     16 0.9
000517  6o 6o 3+ 2+  2- 1o 3- 3o   26o D3  28 1.2
000518  3+ 2+ 2- 2-  1o 1- 1- 1+   13- Q8A  7 0.3
000519  2o 2o 2o 2+  2+ 2- 1+ 1+   15o Q9A  7 0.3
000520  1o 1- 1o 1-  1o 1o 2+ 1+    9o Q3   4 0.2
000521  2- 2o 2- 1o  1o 1+ 1o 2o   12- Q5   5 0.2
000522  1+ 2+ 2o 3-  2o 1+ 2+ 2o   16o      8 0.4
000523  2- 2+ 2+ 2-  2o 3+ 7- 6-   26- D4  29 1.3
000524  8o 8- 6o 6-  5o 5o 6o 4+   48- D1  93 1.9
000525  5- 5- 4o 4o  3o 4- 4o 4o   32o D2  28 1.2
000526  3o 3+ 3+ 3+  2+ 4- 3+ 0+   23-     15 0.8
000527  2o 2- 1+ 2-  2+ 3- 2+ 3-   17-      8 0.4
000528  1+ 2- 2o 2+  2+ 3- 3- 3-   18-      9 0.5
000529  2o 3o 2+ 2+  4- 5- 5o 5-   28- D5  24 1.1
000530  4+ 3- 4+ 3+  4- 4- 3o 4-   29-     22 1.1
000531  3- 4o 2+ 1o  1o 1o 2- 3-   16+     10 0.5
000601  3o 3o 3- 1-  2- 1o 1- 2+   15o      8 0.5
000602  2- 2o 2+ 1o  1o 1o 2o 2o   13o Q7   6 0.3
000603  3- 2o 2+ 3+  3o 2- 3o 2o   20o     11 0.6
000604  1o 2- 3- 0+  1- 3o 4+ 4-   17+     12 0.7
000605  4o 3o 4o 3+  5- 3o 4o 4o   30o D5  24 1.2
000606  3o 2+ 2+ 3-  3+ 5o 2- 1+   22-     15 0.9
000607  2- 1+ 2+ 3-  3- 3- 3- 4-   20-     11 0.6
000608  3- 4- 4+ 6+  7o 6+ 6o 5o   41+ D1  64 1.7
000609  1- 1+ 1+ 2+  1+ 1o 0+ 2+   11- Q3   5 0.2
000610  4- 4- 4- 4+  4o 3+ 3o 3-   28+     21 1.1
000611  2o 3o 3- 5-  4+ 5o 5- 2-   28o     25 1.2
000612  3- 3- 3+ 1+  4- 4- 3o 3o   23+     15 0.9
000613  2- 2+ 2+ 3-  3+ 2o 2- 3-   19-     10 0.6
000614  4- 2o 4o 2+  4+ 5- 5+ 5-   31o D3  29 1.3
000615  6- 3- 3- 3-  4- 4- 4+ 2o   27+     23 1.1
000616  2+ 1o 1o 1o  1o 1- 1- 2-    9+ Q2   5 0.2
000617  1+ 1- 1o 1o  2o 2+ 2- 2o   12o Q5   6 0.3
000618  1+ 0+ 1- 2-  2o 3+ 4o 3o   16+     10 0.6
